/usr/local/bin/fastp -i 49937_1#135_1.fastq.gz -I 49937_1#135_2.fastq.gz -o trimmed/49937_1#135_1_tr.fastq.gz -O trimmed/49937_1#135_2_tr.fastq.gz -j trimmed/49937_1#135.json -h trimmed/49937_1#135.html 	1167950	1159548
/usr/local/bin/fastp -i 49937_1#136_1.fastq.gz -I 49937_1#136_2.fastq.gz -o trimmed/49937_1#136_1_tr.fastq.gz -O trimmed/49937_1#136_2_tr.fastq.gz -j trimmed/49937_1#136.json -h trimmed/49937_1#136.html 	2390172	2363386
/usr/local/bin/fastp -i 49937_1#137_1.fastq.gz -I 49937_1#137_2.fastq.gz -o trimmed/49937_1#137_1_tr.fastq.gz -O trimmed/49937_1#137_2_tr.fastq.gz -j trimmed/49937_1#137.json -h trimmed/49937_1#137.html 	2159268	2141304
/usr/local/bin/fastp -i 49937_1#138_1.fastq.gz -I 49937_1#138_2.fastq.gz -o trimmed/49937_1#138_1_tr.fastq.gz -O trimmed/49937_1#138_2_tr.fastq.gz -j trimmed/49937_1#138.json -h trimmed/49937_1#138.html 	2402674	2385270
/usr/local/bin/fastp -i 49937_1#139_1.fastq.gz -I 49937_1#139_2.fastq.gz -o trimmed/49937_1#139_1_tr.fastq.gz -O trimmed/49937_1#139_2_tr.fastq.gz -j trimmed/49937_1#139.json -h trimmed/49937_1#139.html 	2739754	2715468
/usr/local/bin/fastp -i 49937_1#13_1.fastq.gz -I 49937_1#13_2.fastq.gz -o trimmed/49937_1#13_1_tr.fastq.gz -O trimmed/49937_1#13_2_tr.fastq.gz -j trimmed/49937_1#13.json -h trimmed/49937_1#13.html 	2217960	2199470
/usr/local/bin/fastp -i 49937_1#140_1.fastq.gz -I 49937_1#140_2.fastq.gz -o trimmed/49937_1#140_1_tr.fastq.gz -O trimmed/49937_1#140_2_tr.fastq.gz -j trimmed/49937_1#140.json -h trimmed/49937_1#140.html 	2673702	2650396
/usr/local/bin/fastp -i 49937_1#141_1.fastq.gz -I 49937_1#141_2.fastq.gz -o trimmed/49937_1#141_1_tr.fastq.gz -O trimmed/49937_1#141_2_tr.fastq.gz -j trimmed/49937_1#141.json -h trimmed/49937_1#141.html 	2395524	2380894
/usr/local/bin/fastp -i 49937_1#142_1.fastq.gz -I 49937_1#142_2.fastq.gz -o trimmed/49937_1#142_1_tr.fastq.gz -O trimmed/49937_1#142_2_tr.fastq.gz -j trimmed/49937_1#142.json -h trimmed/49937_1#142.html 	1734216	1719708
/usr/local/bin/fastp -i 49937_1#143_1.fastq.gz -I 49937_1#143_2.fastq.gz -o trimmed/49937_1#143_1_tr.fastq.gz -O trimmed/49937_1#143_2_tr.fastq.gz -j trimmed/49937_1#143.json -h trimmed/49937_1#143.html 	612582	609104
/usr/local/bin/fastp -i 49937_1#144_1.fastq.gz -I 49937_1#144_2.fastq.gz -o trimmed/49937_1#144_1_tr.fastq.gz -O trimmed/49937_1#144_2_tr.fastq.gz -j trimmed/49937_1#144.json -h trimmed/49937_1#144.html 	1838790	1821626
/usr/local/bin/fastp -i 49937_1#145_1.fastq.gz -I 49937_1#145_2.fastq.gz -o trimmed/49937_1#145_1_tr.fastq.gz -O trimmed/49937_1#145_2_tr.fastq.gz -j trimmed/49937_1#145.json -h trimmed/49937_1#145.html 	985878	974456
/usr/local/bin/fastp -i 49937_1#146_1.fastq.gz -I 49937_1#146_2.fastq.gz -o trimmed/49937_1#146_1_tr.fastq.gz -O trimmed/49937_1#146_2_tr.fastq.gz -j trimmed/49937_1#146.json -h trimmed/49937_1#146.html 	2889936	2862076
