49937_1#343.assembly	100.0	0.82	Neural Network (Specific Model)	11	0.883	225781	306.1899248425757	5110577	0.51	4923	None
49947_1#190.assembly	100.0	0.76	Neural Network (Specific Model)	11	0.883	192453	302.64955984266714	5479331	0.5	5339	None
49947_1#220.assembly	100.0	1.14	Neural Network (Specific Model)	11	0.882	190808	308.4158639065382	5108729	0.51	4879	None
49990_2#35.assembly	100.0	1.21	Neural Network (Specific Model)	11	0.878	232335	307.8870275791624	5140325	0.5	4895	None
49937_1#234.assembly	68.29	0.44	Neural Network (Specific Model)	11	0.884	2276	229.31047265987024	3349970	0.58	4316	None
49990_1#158.assembly	100.0	1.02	Neural Network (Specific Model)	11	0.882	283621	309.79686847599163	5039393	0.51	4790	None
49937_1#99.assembly	100.0	1.3	Neural Network (Specific Model)	11	0.883	215875	310.8816519416478	5133026	0.51	4867	None
49990_1#252.assembly	100.0	0.7	Neural Network (Specific Model)	11	0.883	246032	307.6916906622789	5076479	0.51	4862	None
49937_1#373.assembly	100.0	0.2	Neural Network (Specific Model)	11	0.883	307140	315.208932038835	5507297	0.57	5150	None
49989_1#279.assembly	100.0	0.62	Neural Network (Specific Model)	11	0.881	260796	311.6090086384204	5152094	0.51	4862	None
49990_1#57.assembly	100.0	0.2	Neural Network (Specific Model)	11	0.878	240515	310.8414768552535	5768715	0.57	5444	None
49990_1#279.assembly	100.0	0.04	Neural Network (Specific Model)	11	0.88	252283	314.6878	5355047	0.57	5000	None
49989_2#254.assembly	100.0	0.1	Neural Network (Specific Model)	11	0.878	265135	308.20424805613504	5545529	0.57	5273	None
49989_2#92.assembly	100.0	1.08	Neural Network (Specific Model)	11	0.881	380130	307.16486871565235	5130777	0.5	4913	None
49990_1#186.assembly	100.0	0.64	Neural Network (Specific Model)	11	0.879	182948	304.6038102643857	5341141	0.5	5144	None
49937_1#25.assembly	100.0	0.27	Neural Network (Specific Model)	11	0.882	379810	315.3833196384552	5214531	0.58	4868	None
49989_2#267.assembly	100.0	0.85	Neural Network (Specific Model)	11	0.882	229963	309.7537550243283	4970854	0.51	4727	None
49989_2#132.assembly	100.0	2.43	Neural Network (Specific Model)	11	0.881	492543	312.94687964338783	5727406	0.57	5384	None
49990_1#185.assembly	100.0	0.47	Neural Network (Specific Model)	11	0.879	217771	305.8587464920486	5572785	0.57	5345	None
49947_1#212.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.883	221962	307.29576306046897	5066839	0.51	4862	None
49989_2#377.assembly	100.0	0.81	Neural Network (Specific Model)	11	0.885	193000	313.99177735610374	5040039	0.5	4743	None
49990_2#63.assembly	100.0	0.38	Neural Network (Specific Model)	11	0.879	190833	310.9481608948161	4923456	0.51	4649	None
49937_1#92.assembly	100.0	0.14	Neural Network (Specific Model)	11	0.877	440748	306.6563554555681	5588429	0.57	5334	None
49989_2#193.assembly	100.0	0.7	Neural Network (Specific Model)	11	0.883	220170	308.0255249073693	5074268	0.51	4858	None
49989_2#227.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.883	239716	307.59822899505764	5064203	0.51	4856	None
49990_2#217.assembly	100.0	1.17	Neural Network (Specific Model)	11	0.876	173180	305.1779948176201	5232863	0.5	5017	None
49989_1#54.assembly	100.0	0.03	Neural Network (Specific Model)	11	0.878	147322	301.5598831548199	5282243	0.51	5135	None
49947_1#351.assembly	100.0	1.14	Neural Network (Specific Model)	11	0.882	209201	309.01600656679665	5113929	0.51	4873	None
49990_2#101.assembly	100.0	1.97	Neural Network (Specific Model)	11	0.881	200134	306.93912353757685	5259760	0.51	5043	None
49990_2#3.assembly	100.0	1.18	Neural Network (Specific Model)	11	0.876	202436	306.9741119807345	5229411	0.51	4983	None
49989_1#243.assembly	100.0	1.52	Neural Network (Specific Model)	11	0.88	221321	311.112987283719	5081308	0.51	4797	None
49989_1#53.assembly	100.0	0.26	Neural Network (Specific Model)	11	0.88	433209	316.7669424743893	5473680	0.57	5076	None
49937_1#360.assembly	100.0	0.06	Neural Network (Specific Model)	11	0.884	119022	307.0723871492477	5113742	0.51	4918	None
49937_1#224.assembly	100.0	1.32	Neural Network (Specific Model)	11	0.884	184087	303.8917172508322	5260463	0.51	5107	None
49989_1#171.assembly	100.0	1.12	Neural Network (Specific Model)	11	0.883	225781	306.2247967479675	5108243	0.51	4920	None
49989_2#75.assembly	100.0	0.14	Neural Network (Specific Model)	11	0.881	168382	306.6004857316333	5149753	0.51	4941	None
49990_2#136.assembly	99.72	4.06	Neural Network (Specific Model)	11	0.878	9587	216.62544393708777	5822653	0.5	7884	None
49989_2#67.assembly	100.0	0.55	Neural Network (Specific Model)	11	0.879	98197	299.1021883548261	5216967	0.5	5118	None
49990_1#223.assembly	100.0	0.47	Neural Network (Specific Model)	11	0.879	217596	306.2749387139355	5532983	0.57	5303	None
49990_1#148.assembly	100.0	0.37	Neural Network (Specific Model)	11	0.88	237084	302.5704805952142	5118575	0.51	4973	None
49937_1#384.assembly	100.0	1.26	Neural Network (Specific Model)	11	0.88	201617	303.5346034214619	5315069	0.51	5144	None
49989_2#321.assembly	100.0	0.54	Neural Network (Specific Model)	11	0.882	297785	313.1170122725349	5023772	0.51	4726	None
49937_1#21.assembly	100.0	0.68	Neural Network (Specific Model)	11	0.881	274379	309.69643934821966	5232887	0.5	4971	None
49937_1#107.assembly	100.0	2.13	Neural Network (Specific Model)	11	0.879	209197	305.17029126213595	5353069	0.51	5150	None
49947_1#384.assembly	100.0	0.85	Neural Network (Specific Model)	11	0.883	252789	308.48676470588236	4980204	0.51	4760	None
49989_2#300.assembly	100.0	1.15	Neural Network (Specific Model)	11	0.881	197646	302.3780795344326	5295872	0.51	5155	None
49989_1#118.assembly	100.0	0.06	Neural Network (Specific Model)	11	0.884	504336	315.96150761828386	5340218	0.58	4988	None
49989_2#172.assembly	100.0	1.08	Neural Network (Specific Model)	11	0.883	175297	305.37110933758976	5191545	0.51	5012	None
49937_1#130.assembly	100.0	1.03	Neural Network (Specific Model)	11	0.877	210931	312.303861003861	5528021	0.57	5180	None
49989_1#325.assembly	100.0	0.79	Neural Network (Specific Model)	11	0.881	262619	311.7187696170747	5062239	0.5	4779	None
49947_1#344.assembly	100.0	1.24	Neural Network (Specific Model)	11	0.883	222050	311.21828046744577	5061123	0.51	4792	None
49947_1#177.assembly	100.0	0.04	Neural Network (Specific Model)	11	0.88	252107	314.7790232185749	5353237	0.57	4996	None
49937_1#204.assembly	100.0	0.74	Neural Network (Specific Model)	11	0.881	490728	307.98261572670305	5177414	0.51	4947	None
49989_2#207.assembly	100.0	0.65	Neural Network (Specific Model)	11	0.884	232979	307.43532338308455	5027070	0.51	4824	None
49937_1#327.assembly	100.0	1.47	Neural Network (Specific Model)	11	0.881	231772	302.99010093167703	5304938	0.51	5152	None
49989_1#302.assembly	100.0	0.15	Neural Network (Specific Model)	11	0.879	202400	311.0787643207856	5181396	0.51	4888	None
49989_2#378.assembly	100.0	0.17	Neural Network (Specific Model)	11	0.879	101622	311.58097447795825	4573544	0.51	4310	None
49947_1#118.assembly	100.0	1.16	Neural Network (Specific Model)	11	0.882	190808	308.10738392309264	5115260	0.51	4889	None
